2	0.00000109
3	0.00000253
4	0.00000300
5	0.00000367
6	0.00000457
7	0.00000520
8	0.00000558
9	0.00000676
10	0.00000762
11	0.00000830
12	0.00000860
13	0.00001407
14	0.00001685
15	0.00001674
16	0.00001612
17	0.00001742
18	0.00001914
19	0.00002016
20	0.00002085
21	0.00002192
22	0.00002286
23	0.00002381
24	0.00002495
25	0.00003514
26	0.00003631
27	0.00003793
28	0.00003868
29	0.00003997
30	0.00004106
31	0.00004516
32	0.00004293
33	0.00004390
34	0.00004637
35	0.00004702
36	0.00004842
37	0.00005504
38	0.00005456
39	0.00005417
40	0.00005473
41	0.00005712
42	0.00005745
43	0.00005853
44	0.00006018
45	0.00006192
46	0.00006298
47	0.00006470
48	0.00006580
