2	0.00000190
3	0.00000210
4	0.00000254
5	0.00000260
6	0.00000269
7	0.00000275
8	0.00000363
9	0.00000369
10	0.00000399
11	0.00000388
12	0.00000429
13	0.00000441
14	0.00000448
15	0.00000453
16	0.00000407
17	0.00000400
18	0.00000432
19	0.00000427
20	0.00000453
21	0.00000441
22	0.00000462
23	0.00000454
24	0.00000460
25	0.00000474
26	0.00000488
27	0.00000486
28	0.00000479
29	0.00000491
30	0.00000490
31	0.00000493
32	0.00000505
33	0.00000488
34	0.00000496
35	0.00000489
36	0.00000505
37	0.00000529
38	0.00000545
39	0.00000516
40	0.00000536
41	0.00000557
42	0.00000562
43	0.00000568
44	0.00000581
45	0.00000584
46	0.00000600
47	0.00000582
48	0.00000623
