2	0.00000087
3	0.00000207
4	0.00000244
5	0.00000279
6	0.00000327
7	0.00000409
8	0.00000440
9	0.00000465
10	0.00000496
11	0.00000545
12	0.00000572
13	0.00000650
14	0.00000672
15	0.00000727
16	0.00000734
17	0.00000860
18	0.00000852
19	0.00000822
20	0.00001248
21	0.00001355
22	0.00001807
23	0.00001844
24	0.00004546
25	0.00005505
26	0.00005969
27	0.00005116
28	0.00005514
29	0.00007477
30	0.00006238
31	0.00005535
32	0.00004794
33	0.00005409
34	0.00005588
35	0.00007311
36	0.00006378
37	0.00005477
38	0.00004244
39	0.00007065
40	0.00007532
41	0.00005473
42	0.00004227
43	0.00005745
44	0.00005870
45	0.00005244
46	0.00005616
47	0.00009576
48	0.00013489
